movie_row_index,probability,movie_title
135,0.35,Blue in the Face (1995)
337,0.3433,Red Rock West (1992)
6098,0.34,The Earrings of Madame de... (1953)
1525,0.34,Take the Money and Run (1969)
937,0.34,Paths of Glory (1957)
5369,0.3367,Viridiana (1961)
4542,0.3367,Awful Truth, The (1937)
5805,0.3367,Norte, El (1984)
5707,0.3367,Unfaithfully Yours (1948)
2898,0.3367,Gold Rush, The (1925)
1510,0.3367,Tom Jones (1963)
4554,0.3367,In a Lonely Place (1950)
687,0.3367,Day the Sun Turned Cold, The (Tianguo niezi) (1994)
6807,0.3367,Edge of Heaven, The (Auf der anderen Seite) (2007)
1496,0.3367,You Can't Take It with You (1938)
7442,0.3367,3 Idiots (2009)
7435,0.3367,Soul Kitchen (2009)
5316,0.3367,Kikujiro (Kikujirô no natsu) (1999)
1764,0.3367,Cube (1997)
277,0.3367,Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)
2365,0.3367,Help! (1965)
5108,0.3367,Dirty Dancing: Havana Nights (2004)
5226,0.3367,Best of Youth, The (La meglio gioventù) (2003)
2775,0.3367,Jacob's Ladder (1990)
5184,0.3367,Maborosi (Maboroshi no hikari) (1995)
703,0.3367,Vive L'Amour (Ai qing wan sui) (1994)
4774,0.3367,Sgt. Pepper's Lonely Hearts Club Band (1978)
5823,0.3367,Sacrifice, The (Offret - Sacraficatio) (1986)
5683,0.3367,Holiday (1938)
5493,0.3367,Long Day's Journey Into Night (1962)
5684,0.3367,Gaslight (1940)
3200,0.3367,Dungeons & Dragons (2000)
3898,0.3367,What Time Is It There? (Ni neibian jidian) (2001)
1941,0.3367,Stepmom (1998)
8452,0.3367,One Piece Film: Strong World (2009)
4778,0.3367,Hello, Dolly! (1969)
5204,0.3367,Pride and Prejudice (1995)
2046,0.3367,Village of the Damned (1960)
939,0.3367,Hear My Song (1991)
5202,0.3367,Babylon 5: In the Beginning (1998)
983,0.3367,Once Upon a Time in America (1984)
3422,0.3367,Himalaya (Himalaya - l'enfance d'un chef) (1999)
8927,0.3367,Minions (2015)
3621,0.3367,Jesus of Montreal (Jésus de Montréal) (1989)
1571,0.3367,Soylent Green (1973)
6684,0.3367,Woman on the Beach (Haebyeonui yeoin) (2006)
2438,0.3367,Mister Roberts (1955)
5763,0.3367,Topo, El (1970)
5057,0.3367,Dr. Jekyll and Mr. Hyde (1941)
2723,0.3367,Mirror, The (Zerkalo) (1975)
6510,0.3367,Green for Danger (1946)
2428,0.3367,General, The (1926)
4372,0.3367,Equilibrium (2002)
2419,0.3367,They Shoot Horses, Don't They? (1969)
3748,0.3367,Phantom of the Paradise (1974)
3337,0.3367,Hans Christian Andersen (1952)
6729,0.3367,Death at a Funeral (2007)
168,0.3367,Safe (1995)
5617,0.3367,Grudge, The (2004)
3395,0.3367,Under the Sand (2000)
3975,0.3367,We Were Soldiers (2002)
2682,0.3367,Ninth Gate, The (1999)
6869,0.3367,Band's Visit, The (Bikur Ha-Tizmoret) (2007)
4806,0.3367,Rules of the Game, The (La règle du jeu) (1939)
9070,0.3367,Zootopia (2016)
4808,0.3367,Kiss of the Spider Woman (1985)
1403,0.3367,Suicide Kings (1997)
5741,0.3367,Andrei Rublev (Andrey Rublyov) (1969)
3653,0.3367,Santa Sangre (1989)
8948,0.3367,The Man from U.N.C.L.E. (2015)
4812,0.3367,Babette's Feast (Babettes gæstebud) (1987)
5654,0.3367,Love Me If You Dare (Jeux d'enfants) (2003)
2686,0.3367,Hoosiers (a.k.a. Best Shot) (1986)
4743,0.3367,Kind Hearts and Coronets (1949)
5014,0.3367,Night at the Opera, A (1935)
4992,0.3367,Horse Feathers (1932)
2204,0.3367,Outrageous Fortune (1987)
2991,0.3367,Trouble in Paradise (1932)
1478,0.3367,Smoke Signals (1998)
2355,0.3367,Sullivan's Travels (1941)
2353,0.3367,Days of Heaven (1978)
5547,0.3367,Harold and Kumar Go to White Castle (2004)
